ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
21022,33,technician,divorced,secondary,no,855,yes,no,cellular,15,may,3,-1,0,unknown,no
19142,43,management,married,tertiary,no,0,yes,no,cellular,17,nov,2,-1,0,unknown,no
10458,56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,2,165,2,other,no
12514,47,admin.,married,secondary,no,663,yes,yes,cellular,12,may,1,274,6,other,yes
22272,37,entrepreneur,married,tertiary,no,404,yes,no,cellular,28,jul,10,-1,0,unknown,no
20496,36,student,married,tertiary,no,408,no,no,unknown,20,jun,3,-1,0,unknown,no
11090,30,technician,single,secondary,no,3286,yes,no,cellular,9,apr,1,-1,0,unknown,yes
19538,41,services,married,secondary,no,803,yes,no,cellular,9,apr,4,316,3,failure,yes
15481,35,management,single,tertiary,no,1423,yes,no,unknown,20,may,1,-1,0,unknown,no
14481,40,technician,divorced,secondary,no,6,no,no,cellular,27,aug,16,-1,0,unknown,no
16874,74,retired,married,primary,no,5539,no,no,cellular,12,jul,2,159,3,failure,no
10715,60,management,married,secondary,no,0,no,no,cellular,20,may,4,87,8,failure,no
19346,36,services,married,secondary,no,1253,yes,no,cellular,11,may,2,-1,0,unknown,no
13834,38,technician,married,secondary,no,2767,yes,no,cellular,21,nov,2,-1,0,unknown,no
12697,44,technician,divorced,secondary,no,14,no,no,cellular,13,aug,1,-1,0,unknown,yes
14084,62,retired,married,secondary,no,569,no,no,cellular,4,feb,5,184,1,success,yes
15142,45,admin.,divorced,secondary,no,-288,no,yes,cellular,9,jul,2,-1,0,unknown,no
15711,62,blue-collar,married,secondary,no,272,no,no,cellular,11,nov,1,92,3,success,yes
14560,32,blue-collar,married,secondary,no,0,yes,no,unknown,28,may,3,-1,0,unknown,no
19044,33,management,married,tertiary,no,603,yes,no,cellular,29,jan,1,-1,0,unknown,no
14786,37,student,single,unknown,no,444,no,no,cellular,14,aug,1,102,5,success,yes
15458,32,technician,married,tertiary,no,401,yes,no,cellular,24,jul,1,-1,0,unknown,no
13457,45,admin.,divorced,secondary,no,479,no,no,cellular,2,feb,2,-1,0,unknown,no
13406,57,technician,married,secondary,no,3071,yes,yes,cellular,7,may,3,-1,0,unknown,no
16563,82,retired,married,secondary,no,0,no,no,telephone,12,aug,2,-1,0,unknown,no
12456,51,self-employed,married,secondary,no,1377,no,no,unknown,20,jun,2,-1,0,unknown,no
12758,30,technician,single,tertiary,no,53,no,no,cellular,29,apr,1,-1,0,unknown,yes
20410,36,management,married,tertiary,no,287,no,yes,cellular,5,aug,1,-1,0,unknown,no
19830,53,management,married,tertiary,no,1759,no,no,cellular,2,feb,3,-1,0,unknown,no
11550,51,technician,married,secondary,no,221,yes,no,unknown,7,may,3,-1,0,unknown,no
16459,46,technician,married,secondary,no,967,no,no,cellular,7,jul,3,-1,0,unknown,no
21444,36,technician,married,primary,no,4585,yes,no,unknown,29,may,3,-1,0,unknown,no
12545,65,retired,married,secondary,no,3409,no,no,cellular,15,feb,2,-1,0,unknown,no
11407,55,unknown,married,unknown,no,666,no,no,unknown,15,may,5,-1,0,unknown,no
20784,38,self-employed,married,unknown,no,10855,no,no,unknown,5,jun,2,-1,0,unknown,no
14066,60,retired,married,primary,no,949,no,yes,telephone,18,jul,2,-1,0,unknown,no
16493,34,unemployed,married,tertiary,no,10,no,no,cellular,22,aug,5,-1,0,unknown,no
20673,37,technician,divorced,secondary,yes,0,no,yes,cellular,19,nov,1,-1,0,unknown,no
22434,28,technician,single,secondary,no,541,yes,no,unknown,26,may,3,-1,0,unknown,no
10603,55,retired,married,primary,no,-90,yes,yes,unknown,7,may,2,-1,0,unknown,no
16668,30,management,single,tertiary,no,5074,yes,no,cellular,25,jul,2,-1,0,unknown,no
10612,29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,1,-1,0,unknown,yes
18492,52,management,married,tertiary,no,4675,no,no,cellular,12,feb,3,-1,0,unknown,yes
15653,38,management,married,tertiary,no,1463,yes,no,cellular,25,aug,4,-1,0,unknown,no
15300,34,admin.,married,secondary,no,869,no,no,unknown,6,may,1,-1,0,unknown,yes
13104,32,management,married,tertiary,no,1388,yes,no,cellular,13,aug,1,105,1,success,no
11238,26,student,single,secondary,no,100,no,no,cellular,26,may,1,-1,0,unknown,yes
22222,57,services,married,primary,no,53,no,no,cellular,6,aug,2,-1,0,unknown,no
22672,44,management,single,secondary,no,1012,no,no,unknown,9,jun,1,-1,0,unknown,no
15290,31,student,single,secondary,no,3511,no,no,cellular,2,jul,1,-1,0,unknown,yes
21616,59,retired,married,primary,no,1245,no,no,unknown,18,jun,2,-1,0,unknown,no
20141,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,24,-1,0,unknown,yes
13670,48,blue-collar,single,primary,no,1080,yes,no,unknown,16,jun,3,-1,0,unknown,no
10868,48,admin.,divorced,secondary,no,771,yes,no,unknown,2,jun,1,-1,0,unknown,no
21257,67,retired,divorced,primary,no,1746,no,no,cellular,5,aug,1,-1,0,unknown,no
11231,30,services,married,secondary,no,-298,no,yes,cellular,10,jul,1,-1,0,unknown,no
22687,32,management,single,tertiary,no,656,yes,yes,cellular,20,apr,2,-1,0,unknown,no
11799,30,student,single,secondary,no,3096,no,no,cellular,2,aug,3,188,1,failure,no
20970,33,management,married,tertiary,no,643,no,no,cellular,2,aug,3,94,1,other,no
21167,40,management,married,tertiary,no,409,no,no,cellular,19,aug,2,-1,0,unknown,no
11457,50,management,married,tertiary,no,19447,yes,yes,cellular,21,nov,1,-1,0,unknown,no
21443,35,blue-collar,single,primary,no,1284,yes,no,telephone,14,may,5,-1,0,unknown,no
20091,27,entrepreneur,single,tertiary,no,0,yes,no,unknown,4,jun,2,-1,0,unknown,no
14097,48,blue-collar,divorced,secondary,no,-314,yes,no,cellular,18,may,5,-1,0,unknown,no
16426,44,management,divorced,tertiary,no,2367,no,no,cellular,22,sep,1,184,6,success,yes
14500,30,management,married,secondary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,no
15394,28,technician,single,secondary,no,1417,yes,no,unknown,28,may,1,-1,0,unknown,no
21829,22,technician,single,secondary,no,283,yes,no,cellular,22,mar,2,-1,0,unknown,yes
10364,48,services,single,secondary,no,561,yes,no,cellular,12,may,1,358,2,other,no
18047,52,technician,married,secondary,no,3431,no,no,cellular,25,aug,4,-1,0,unknown,no
18032,33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1,-1,0,unknown,yes
10269,35,management,married,tertiary,no,3109,yes,no,cellular,3,jun,1,-1,0,unknown,no
20283,41,admin.,single,secondary,no,1322,yes,no,cellular,29,jan,1,266,1,failure,no
11653,28,admin.,single,secondary,no,260,yes,no,unknown,7,may,2,-1,0,unknown,no
11277,49,management,married,tertiary,no,64,no,no,unknown,11,jun,1,-1,0,unknown,yes
18672,63,retired,married,secondary,no,1495,no,no,cellular,25,oct,1,195,4,other,yes
22356,57,technician,married,secondary,no,225,yes,no,telephone,15,may,7,337,12,failure,no
12002,33,technician,single,secondary,no,2466,yes,no,cellular,21,nov,2,-1,0,unknown,no
20869,32,blue-collar,married,secondary,no,822,yes,no,cellular,14,may,8,366,6,failure,no
19695,57,retired,married,tertiary,no,34,no,yes,cellular,28,jan,1,-1,0,unknown,no
21940,55,entrepreneur,married,primary,no,-24,yes,no,unknown,8,may,1,-1,0,unknown,no
11700,42,blue-collar,married,secondary,no,179,yes,no,cellular,17,nov,1,-1,0,unknown,no
11121,46,unknown,married,unknown,no,677,no,no,cellular,3,feb,1,82,1,failure,no
21736,31,technician,married,secondary,no,318,no,no,cellular,2,dec,1,-1,0,unknown,yes
12309,43,services,married,secondary,no,2145,no,no,cellular,22,may,1,183,3,failure,yes
20530,32,admin.,single,secondary,no,-15,no,no,unknown,27,may,2,-1,0,unknown,no
11860,30,management,married,tertiary,no,593,yes,yes,cellular,18,jul,1,-1,0,unknown,no
15815,39,entrepreneur,divorced,tertiary,no,208,yes,no,unknown,3,jun,2,-1,0,unknown,no
20997,29,technician,single,tertiary,no,3,yes,no,unknown,7,may,1,-1,0,unknown,no
20509,39,housemaid,married,unknown,no,9716,no,no,unknown,20,jun,2,-1,0,unknown,no
14709,35,blue-collar,married,secondary,no,-102,yes,no,cellular,14,jul,3,-1,0,unknown,no
22709,38,blue-collar,married,primary,no,1099,yes,no,cellular,15,may,5,-1,0,unknown,no
20674,36,admin.,single,tertiary,no,3954,yes,no,unknown,21,may,1,-1,0,unknown,no
22275,26,unemployed,single,tertiary,no,2170,no,no,cellular,3,feb,1,-1,0,unknown,no
16138,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
18863,38,blue-collar,married,secondary,no,205,yes,no,unknown,3,jun,1,-1,0,unknown,no
16377,27,blue-collar,married,primary,no,1535,yes,no,cellular,15,may,1,-1,0,unknown,no
19583,59,technician,married,primary,no,4198,no,no,cellular,14,jan,1,91,10,success,yes
20800,33,services,single,tertiary,no,-452,no,no,cellular,29,jan,2,-1,0,unknown,yes
10313,40,technician,single,secondary,yes,45,no,yes,cellular,29,jan,1,182,23,other,no
15363,44,services,divorced,secondary,no,0,yes,yes,unknown,13,may,1,-1,0,unknown,no
11297,33,technician,married,tertiary,no,599,yes,no,cellular,29,aug,2,-1,0,unknown,no
14516,30,management,single,secondary,no,4642,yes,no,cellular,21,nov,1,-1,0,unknown,yes
15452,34,blue-collar,married,secondary,no,634,no,yes,cellular,12,may,3,-1,0,unknown,yes
18461,55,blue-collar,married,primary,no,2384,no,yes,telephone,21,aug,20,-1,0,unknown,no
15058,29,services,divorced,secondary,no,84,yes,no,cellular,13,apr,2,-1,0,unknown,yes
21298,42,admin.,divorced,secondary,no,527,no,yes,cellular,20,apr,1,-1,0,unknown,yes
19418,31,management,single,secondary,no,783,yes,no,cellular,2,feb,2,272,1,failure,no
14067,57,retired,married,secondary,no,479,no,no,telephone,14,aug,2,-1,0,unknown,no
10130,53,management,married,tertiary,no,193,no,no,unknown,14,may,2,-1,0,unknown,no
12640,35,technician,single,secondary,no,2,no,no,cellular,11,aug,4,-1,0,unknown,no
15301,47,management,married,tertiary,no,5049,no,no,cellular,22,aug,7,-1,0,unknown,no
15029,33,admin.,married,secondary,no,0,no,yes,cellular,6,feb,5,-1,0,unknown,no
15705,34,services,married,secondary,no,-353,yes,no,cellular,15,jul,4,-1,0,unknown,no
22741,42,entrepreneur,married,tertiary,no,34,yes,no,cellular,15,may,1,-1,0,unknown,no
10110,41,blue-collar,single,secondary,no,1564,yes,no,cellular,12,may,10,362,1,other,no
20398,33,technician,married,secondary,no,303,yes,no,cellular,3,feb,1,301,5,success,yes
21491,40,services,married,primary,no,-45,no,yes,cellular,8,jul,1,-1,0,unknown,no
15203,32,self-employed,single,tertiary,no,2559,no,no,cellular,7,jul,1,-1,0,unknown,yes
17840,29,blue-collar,married,secondary,no,5903,yes,no,unknown,8,may,1,-1,0,unknown,no
12380,42,unemployed,divorced,primary,no,1699,no,yes,cellular,17,jul,2,-1,0,unknown,no
22311,33,admin.,divorced,secondary,yes,-18,yes,no,cellular,6,may,1,359,3,failure,no
12169,44,blue-collar,single,primary,no,38,yes,no,cellular,5,may,4,-1,0,unknown,no
21812,46,blue-collar,married,primary,no,57,yes,no,cellular,16,apr,1,-1,0,unknown,no
10086,50,management,married,tertiary,no,0,no,no,cellular,10,aug,3,130,3,other,no
15478,39,technician,married,secondary,no,4444,yes,no,unknown,21,may,1,-1,0,unknown,no
19233,27,student,single,secondary,no,538,no,no,cellular,4,jun,2,-1,0,unknown,yes
12789,56,blue-collar,married,primary,no,197,no,no,unknown,9,jun,2,-1,0,unknown,no
11669,25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,3,89,2,failure,yes
20006,27,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,may,2,-1,0,unknown,no
17597,26,technician,single,secondary,no,342,no,no,cellular,14,oct,2,-1,0,unknown,no
14627,34,admin.,divorced,secondary,no,1268,yes,no,cellular,15,may,3,-1,0,unknown,no
21624,57,housemaid,married,primary,no,625,no,yes,unknown,11,jun,1,-1,0,unknown,yes
10970,39,management,single,tertiary,no,26,yes,yes,unknown,26,may,4,-1,0,unknown,no
17513,46,technician,married,tertiary,no,0,no,no,unknown,6,jun,1,-1,0,unknown,no
21793,36,admin.,married,secondary,no,131,yes,no,cellular,2,feb,1,-1,0,unknown,no
18012,51,technician,married,tertiary,no,7338,no,no,cellular,18,nov,1,-1,0,unknown,no
10853,34,services,single,secondary,no,-701,yes,no,cellular,11,may,2,-1,0,unknown,yes
11060,30,student,single,primary,no,1527,no,no,telephone,22,apr,7,-1,0,unknown,no
11914,57,retired,married,secondary,no,256,no,no,cellular,7,aug,4,-1,0,unknown,no
21276,62,technician,married,secondary,no,973,no,no,cellular,2,feb,1,-1,0,unknown,yes
18498,69,retired,married,unknown,no,426,no,no,telephone,9,mar,1,90,1,success,yes
18640,34,admin.,married,secondary,no,4902,yes,no,cellular,6,may,1,167,1,failure,no
19912,41,blue-collar,single,secondary,yes,1085,yes,yes,cellular,7,jul,1,-1,0,unknown,yes
14621,44,entrepreneur,single,tertiary,no,1240,yes,no,cellular,18,nov,1,-1,0,unknown,no
20476,32,management,married,tertiary,no,4307,yes,no,unknown,28,may,3,-1,0,unknown,no
12802,51,management,divorced,tertiary,no,482,yes,no,unknown,14,may,1,-1,0,unknown,no
22309,30,technician,single,secondary,no,863,yes,no,unknown,16,may,5,-1,0,unknown,yes
11692,53,unemployed,divorced,secondary,no,468,no,no,cellular,22,aug,6,-1,0,unknown,no
11734,47,housemaid,divorced,secondary,no,80,no,no,cellular,19,aug,2,-1,0,unknown,no
18983,41,housemaid,married,secondary,no,879,no,no,unknown,5,jun,2,-1,0,unknown,yes
12798,56,unemployed,divorced,primary,no,802,no,no,telephone,3,feb,2,-1,0,unknown,no
15464,33,management,single,tertiary,no,474,yes,no,cellular,2,feb,1,179,3,failure,no
10138,34,admin.,married,secondary,no,45,yes,no,cellular,18,nov,1,-1,0,unknown,no
16748,36,blue-collar,married,unknown,no,722,yes,no,cellular,18,nov,1,182,2,failure,no
20694,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,2,-1,0,unknown,yes
16172,53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,1,-1,0,unknown,yes
11227,43,entrepreneur,married,tertiary,yes,-250,no,no,unknown,5,jun,1,-1,0,unknown,no
17013,37,housemaid,single,primary,no,199,yes,no,cellular,10,jul,1,-1,0,unknown,no
10751,56,management,married,tertiary,no,1483,no,no,cellular,6,aug,4,-1,0,unknown,no
18449,41,unemployed,married,secondary,no,277,yes,no,cellular,12,may,3,351,2,failure,no
21559,35,blue-collar,married,secondary,no,205,yes,yes,cellular,15,may,7,312,1,failure,yes
22421,39,admin.,married,tertiary,no,1108,no,no,cellular,21,apr,1,-1,0,unknown,yes
11539,31,blue-collar,single,secondary,no,707,yes,no,cellular,18,may,2,-1,0,unknown,no
16620,58,technician,married,tertiary,no,1692,yes,no,telephone,17,jul,5,-1,0,unknown,no
11995,40,services,married,primary,no,1082,yes,no,unknown,30,may,2,-1,0,unknown,yes
18350,39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,2,-1,0,unknown,yes
17919,64,retired,married,secondary,no,588,no,no,cellular,16,jul,1,179,3,success,yes
21155,31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,1,341,7,failure,yes
17020,31,technician,single,tertiary,no,208,no,no,cellular,12,aug,7,-1,0,unknown,yes
16833,32,admin.,married,secondary,no,-1,no,no,cellular,8,jul,2,-1,0,unknown,no
21525,32,management,married,tertiary,no,421,no,no,cellular,6,aug,6,-1,0,unknown,no
12797,57,blue-collar,married,primary,no,3109,no,no,cellular,15,sep,2,105,2,success,yes
12948,77,management,married,unknown,no,1780,yes,no,cellular,23,apr,2,182,5,success,yes
17583,51,blue-collar,married,primary,no,3185,yes,no,cellular,13,may,1,174,2,failure,no
22627,35,blue-collar,married,secondary,no,-557,yes,yes,unknown,21,may,1,-1,0,unknown,no
17116,47,management,married,tertiary,no,286,no,no,cellular,22,aug,7,-1,0,unknown,no
13959,58,management,married,tertiary,no,1101,no,no,telephone,17,nov,3,-1,0,unknown,no
10601,46,technician,married,secondary,no,783,yes,no,cellular,22,jul,4,-1,0,unknown,no
18131,41,admin.,married,primary,no,-306,yes,no,unknown,15,may,1,-1,0,unknown,yes
21448,35,technician,single,secondary,no,1001,no,yes,cellular,24,jul,2,-1,0,unknown,no
18316,56,blue-collar,married,primary,no,2765,no,no,cellular,13,apr,3,-1,0,unknown,no
15463,51,blue-collar,married,primary,no,6343,yes,no,cellular,26,aug,20,-1,0,unknown,no
14502,35,management,single,tertiary,no,250,no,no,unknown,19,jun,2,-1,0,unknown,no
14059,54,unknown,married,unknown,no,895,no,no,cellular,7,oct,1,-1,0,unknown,yes
19593,67,retired,married,secondary,no,1146,no,no,cellular,13,nov,1,92,2,failure,yes
12373,58,services,married,secondary,no,553,no,yes,telephone,17,jul,3,-1,0,unknown,no
13819,77,retired,married,tertiary,no,0,no,no,cellular,16,oct,1,60,1,success,yes
11311,37,management,single,tertiary,no,102,yes,no,cellular,6,may,1,258,2,failure,yes
19854,31,blue-collar,married,primary,no,1601,no,no,cellular,7,apr,1,137,3,failure,no
20579,34,housemaid,married,tertiary,no,11219,no,no,cellular,25,may,1,-1,0,unknown,no
17220,44,blue-collar,married,secondary,no,1147,yes,no,unknown,18,jun,3,-1,0,unknown,no
13392,37,technician,divorced,secondary,no,141,yes,no,cellular,6,may,1,364,3,failure,yes
15368,44,blue-collar,married,secondary,no,841,no,no,cellular,28,jul,4,-1,0,unknown,no
12325,44,services,married,unknown,no,67,yes,no,unknown,5,jun,1,-1,0,unknown,no
14573,37,services,married,secondary,no,1785,yes,no,unknown,26,may,4,-1,0,unknown,no
19055,38,technician,married,secondary,no,1409,yes,no,unknown,20,jun,14,-1,0,unknown,no
14017,27,technician,single,secondary,no,1511,yes,no,cellular,4,may,1,-1,0,unknown,no
10680,30,admin.,single,secondary,no,270,no,no,cellular,30,apr,1,80,1,success,yes
19489,34,management,married,tertiary,no,0,no,no,cellular,6,feb,3,9,1,other,yes
17872,69,retired,married,primary,no,579,no,no,cellular,14,aug,1,-1,0,unknown,no
14856,39,technician,single,tertiary,no,0,no,no,cellular,21,aug,2,-1,0,unknown,no
14970,41,technician,married,secondary,no,871,yes,no,unknown,6,may,1,-1,0,unknown,no
15297,42,management,married,tertiary,no,0,no,no,unknown,20,may,12,-1,0,unknown,no
18980,42,services,single,secondary,no,2628,yes,no,cellular,19,nov,1,-1,0,unknown,no
15141,31,management,single,tertiary,no,1017,no,no,cellular,2,feb,1,-1,0,unknown,no
21086,46,technician,married,secondary,no,0,no,no,unknown,6,jun,2,-1,0,unknown,no
22567,36,blue-collar,married,secondary,no,1563,no,no,cellular,29,jul,2,-1,0,unknown,no
17323,49,blue-collar,divorced,secondary,no,1869,no,yes,unknown,11,jun,1,-1,0,unknown,no
16694,55,blue-collar,divorced,secondary,no,1613,yes,no,cellular,3,apr,1,270,3,failure,yes
20770,35,technician,married,tertiary,no,14232,yes,no,cellular,18,nov,2,-1,0,unknown,no
10304,43,management,married,tertiary,no,1264,yes,no,cellular,13,may,2,-1,0,unknown,no
12161,56,retired,divorced,primary,no,1177,no,no,cellular,30,jul,2,-1,0,unknown,no
14076,24,student,single,secondary,no,1809,no,no,cellular,11,oct,1,95,2,success,yes
22025,44,blue-collar,married,primary,no,3407,yes,no,unknown,15,may,2,-1,0,unknown,no
13026,31,admin.,single,secondary,no,1201,no,no,cellular,6,feb,5,-1,0,unknown,no
17164,48,management,married,tertiary,no,157,no,no,cellular,28,jan,4,-1,0,unknown,yes
21071,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1,-1,0,unknown,yes
11261,34,blue-collar,married,secondary,no,-257,yes,no,cellular,15,may,1,368,4,failure,no
15408,37,technician,married,secondary,no,1458,no,no,cellular,30,apr,1,-1,0,unknown,yes
22588,58,blue-collar,married,secondary,no,238,no,no,cellular,15,may,8,-1,0,unknown,no
14169,32,technician,single,tertiary,no,1625,no,no,cellular,22,may,1,109,1,failure,yes
10074,53,management,married,tertiary,no,3634,no,no,cellular,7,may,4,88,8,success,yes
14278,23,student,single,secondary,no,794,no,no,cellular,26,jul,3,171,3,other,yes
17586,46,services,married,secondary,no,250,no,no,cellular,18,aug,6,-1,0,unknown,no
19544,25,management,single,tertiary,no,1348,yes,no,unknown,8,may,1,-1,0,unknown,no
22849,22,student,single,secondary,no,1925,no,no,cellular,4,may,1,-1,0,unknown,no
21036,32,self-employed,married,secondary,no,409,no,no,cellular,9,mar,2,-1,0,unknown,yes
14064,45,housemaid,married,secondary,no,4068,no,no,cellular,20,aug,1,-1,0,unknown,yes
17547,37,management,married,tertiary,no,539,no,no,cellular,25,sep,2,45,1,failure,no
22854,50,technician,married,secondary,no,315,no,no,cellular,8,aug,10,-1,0,unknown,no
14408,47,technician,married,secondary,no,536,yes,no,cellular,18,may,2,336,2,success,no
20815,37,housemaid,married,secondary,no,187,no,no,unknown,12,jun,1,-1,0,unknown,no
11675,33,services,single,secondary,no,170,no,no,cellular,7,jul,1,-1,0,unknown,yes
17716,48,technician,married,secondary,no,2688,no,yes,cellular,26,aug,2,-1,0,unknown,no
20953,37,management,single,tertiary,no,230,yes,yes,unknown,6,may,1,-1,0,unknown,no
11957,35,blue-collar,divorced,primary,no,1792,yes,no,cellular,31,jul,6,-1,0,unknown,yes
18183,40,services,married,secondary,no,473,yes,no,cellular,28,jul,3,-1,0,unknown,yes
12780,41,management,divorced,tertiary,no,5037,no,no,cellular,23,apr,9,185,5,other,yes
12679,29,management,married,tertiary,no,1,yes,yes,unknown,16,may,1,-1,0,unknown,no
13737,42,admin.,married,tertiary,no,1536,no,no,cellular,5,feb,1,182,3,success,no
17079,57,retired,married,primary,no,243,no,no,cellular,8,aug,4,-1,0,unknown,no
13685,35,technician,single,tertiary,no,670,no,no,cellular,13,oct,2,-1,0,unknown,yes
13803,59,retired,married,primary,no,474,no,no,cellular,13,aug,3,-1,0,unknown,no
19482,31,services,single,secondary,no,605,yes,no,unknown,28,may,1,-1,0,unknown,no
12404,32,blue-collar,married,secondary,no,169,yes,no,cellular,14,may,2,-1,0,unknown,no
20318,53,admin.,single,secondary,no,2892,no,no,cellular,9,apr,3,-1,0,unknown,yes
17747,34,management,married,secondary,no,2311,yes,no,cellular,19,nov,1,-1,0,unknown,no
12095,34,technician,married,tertiary,no,0,no,no,cellular,21,jul,2,-1,0,unknown,no
21268,47,technician,married,secondary,no,293,no,no,cellular,3,mar,1,-1,0,unknown,yes
13450,36,management,married,tertiary,no,162,yes,no,cellular,8,aug,2,-1,0,unknown,no
22171,34,management,single,tertiary,no,2561,no,no,cellular,29,dec,1,-1,0,unknown,no
11327,30,technician,married,tertiary,no,541,yes,no,unknown,26,may,2,-1,0,unknown,yes
